Date,22-Dec-20,
Reference,Minyu I p.178,
w,1.00E+04,
r1,1.10338,-0.18211
r2,0.81568,-0.18324
r3,0.074212,-0.16138
r4,0.010232,-0.17563
r5,0.012862,-0.18253
r6,0.009762,-0.161842
r7,0.007301,-0.160382
r8,0.229061,-0.182862
r9,0.010161,-0.170372
r10,0.011141,-0.164411
r11,0.014671,-0.177171
r12,0.007681,-0.176991
r13,-0.412241,-0.17225
r14,-0.315095,-0.119033
r15,-0.162465,-0.113673
factora,"{""xreal"": 1.0003093210681406, ""ximag"": 0.0007497042903003306, ""u"": [2.0026080050565376e-06, 2.0093887803372417e-06], ""v"": [4.010438821916525e-12, 3.584690128696448e-15, 3.584690128696448e-15, 4.037643270545188e-12], ""df"": 10951907.269132093, ""label"": ""factora""}",
factorb,"{""xreal"": 1.0001942917392947, ""ximag"": -0.00023893092658472306, ""u"": [2.2330391770538575e-06, 2.00201396483121e-06], ""v"": [4.986463966257369e-12, -4.1995198984132466e-15, -4.1995198984132466e-15, 4.008059915379181e-12], ""df"": 27564801.454954732, ""label"": ""factorb""}",
main_ratio,"{""xreal"": 10.00001508679676, ""ximag"": -0.00014765252154152572, ""u"": [2.7719090994104615e-08, 4.6282099835787193e-07], ""v"": [7.683480055394516e-16, -6.594069560158576e-15, -6.594069560158576e-15, 2.142032765209773e-13], ""df"": 2.7419084349751386e+19, ""label"": ""main_ratio""}",
