Date,15 November 2019
Reference,KJ Lab Diary2 p.117
w,1e4
s1,-0.166400,0.168700
s2,0.091340,0.170270
s3,0.113550,0.168890
s4,-0.000250,0.170230
s5,0.249770,0.167580
s6,-0.009570,0.173700
s7,-0.089670,0.172390
s8,-0.024010,0.171770
s9,-0.138560,0.171400
s10,-0.201940,0.170870
s11,-0.015090,0.168600
s12,-0.166400,0.167260
factora,"{""xreal"": 0.9999831569337372, ""ximag"": 0.0007304678610149395, ""u"": [2.0058324963787864e-06, 2.0031030642531176e-06], ""v"": [4.023364003529154e-12, 2.992278544086909e-15, 2.992278544086909e-15, 4.012421886020229e-12], ""df"": 4395568.98629014, ""label"": ""factora""}"
factorb,"{""xreal"": 0.997366723703421, ""ximag"": -0.00010938832022589717, ""u"": [2.234174193522869e-06, 2.005059378012518e-06], ""v"": [4.9915343270035614e-12, -3.618338144161007e-15, -3.618338144161007e-15, 4.020263109355946e-12], ""df"": 11250640.824449362, ""label"": ""factorb""}"
za,"{""xreal"": 0.065128, ""ximag"": 0.004269, ""u"": [0.0032564000000000004, 0.00021344999999999998], ""v"": [1.0604140960000004e-05, 0.0, 0.0, 4.556090249999999e-08], ""df"": Infinity, ""label"": ""za""}"
ya,"{""xreal"": 5e-11, ""ximag"": 6.491500000000001e-07, ""u"": [2.5000000000000003e-12, 3.2457500000000005e-08], ""v"": [6.250000000000001e-24, 0.0, 0.0, 1.0534893062500002e-15], ""df"": Infinity, ""label"": ""ya""}"
zinta,"{""xreal"": 0.02606, ""ximag"": 0.002417, ""u"": [0.0013030000000000001, 0.00012085], ""v"": [1.6978090000000003e-06, 0.0, 0.0, 1.46047225e-08], ""df"": Infinity, ""label"": ""zinta""}"
y3,"{""xreal"": 2.09e-10, ""ximag"": 6.0527e-08, ""u"": [1.045e-11, 3.02635e-09], ""v"": [1.092025e-22, 0.0, 0.0, 9.1587943225e-18], ""df"": Infinity, ""label"": ""y3""}"
y4Y2,"{""xreal"": 6.4e-09, ""ximag"": 3.1817999999999998e-06, ""u"": [3.2000000000000003e-10, 1.5908999999999998e-07], ""v"": [1.0240000000000002e-19, 0.0, 0.0, 2.5309628099999993e-14], ""df"": Infinity, ""label"": ""y4Y2""}"
zb,"{""xreal"": 0.065498, ""ximag"": 0.0043300000000000005, ""u"": [0.0032749000000000003, 0.0002165], ""v"": [1.0724970010000003e-05, 0.0, 0.0, 4.6872250000000005e-08], ""df"": Infinity, ""label"": ""zb""}"
yb,"{""xreal"": 5e-11, ""ximag"": 6.438e-07, ""u"": [2.5000000000000003e-12, 3.219e-08], ""v"": [6.250000000000001e-24, 0.0, 0.0, 1.0361960999999999e-15], ""df"": Infinity, ""label"": ""yb""}"
zintb,"{""xreal"": 0.4169999999999998, ""ximag"": 0.002515, ""u"": [0.020849999999999994, 0.00012575], ""v"": [0.00043472249999999975, 0.0, 0.0, 1.58130625e-08], ""df"": Infinity, ""label"": ""zintb""}"
y1,"{""xreal"": 2.09e-10, ""ximag"": 6.0527e-08, ""u"": [1.045e-11, 3.02635e-09], ""v"": [1.092025e-22, 0.0, 0.0, 9.1587943225e-18], ""df"": Infinity, ""label"": ""y1""}"
y2Y1,"{""xreal"": 7.41e-10, ""ximag"": 4.0168e-07, ""u"": [3.7050000000000004e-11, 2.0084e-08], ""v"": [1.3727025000000002e-21, 0.0, 0.0, 4.03367056e-16], ""df"": Infinity, ""label"": ""y2Y1""}"
